Displacement:0,Displacement:1,Displacement:2,Strain vectors:0,Strain vectors:1,Strain vectors:2,Stress vectors:0,Stress vectors:1,Stress vectors:2,Max shear stress (Tresca),Maximum Principal stress,Median Principal stress,Minimum Principal stress,Von Mises stress,Temperature,Points:0,Points:1,Points:2,Point ID
7.79978e-07,8.17356e-07,-9.67228e-07,-0.000248514,-0.000243166,-0.00440762,11.518,11.8906,10.4719,2.24663,13.0678,12.2382,8.57451,4.14128,213,0,0,0,0
0,0,0,-0.000292231,-0.000273962,-0.0106544,27.9993,28.025,13.4155,13.0431,33.8533,27.8195,7.76703,23.6538,213,0,0,-0.1,1
-7.9941e-07,8.33655e-07,-1.06757e-06,-0.000259879,-0.000249781,-0.00472556,9.01946,9.7446,9.07081,2.59455,11.2948,10.4344,6.10568,4.81689,213,20.1,0,0,2
0,0,0,-0.000285568,-0.000267305,-0.0111767,27.1729,27.1986,11.8446,13.4524,33.0626,26.9957,6.1578,24.4427,213,20.1,0,-0.1,3
4.85848e-07,-7.69209e-07,-1.43739e-06,-0.000239331,-0.000222731,-0.00603739,6.63533,7.51472,0.798565,4.39184,8.39319,6.94592,-0.390496,8.15692,213,0,21.1,0,4
0,0,0,-0.000219108,-0.000205557,-0.0144426,22.1145,22.1336,2.0963,13.3463,25.5276,21.9819,-1.16505,25.1083,213,0,21.1,-0.1,5
-4.83073e-07,-7.77371e-07,-1.44652e-06,-0.000240065,-0.000220154,-0.00605756,6.5729,7.7011,0.673864,4.45857,8.3783,7.10842,-0.538853,8.35491,213,20.1,21.1,0,6
0,0,0,-0.000219787,-0.00020393,-0.0144469,22.1081,22.1304,2.08479,13.3904,25.563,21.978,-1.21772,25.1804,213,20.1,21.1,-0.1,7
1.96841e-06,1.95689e-06,-1.85997e-06,-0.0015921,-0.00156553,-0.00177326,2.03691,2.55658,-0.104971,2.2294,4.30951,0.328309,-0.1493,4.24023,213,-0.1,0,0.5025,8
1.99014e-06,1.97715e-06,-1.90322e-06,-0.0016178,-0.00158963,-0.00188244,0.777285,0.861358,-0.0127099,0.580401,1.14699,0.492745,-0.0138069,1.00799,213,-0.1,0,0.525,9
-1.92869e-06,1.92226e-06,-2.01084e-06,-0.00157503,-0.00155424,-0.00178896,2.62177,3.02868,-0.169651,2.66798,5.13117,0.554424,-0.204796,4.99978,213,20.2,0,0.5025,10
-1.94547e-06,1.93814e-06,-2.0544e-06,-0.00159654,-0.00157484,-0.0019035,0.888299,0.953079,-0.0279849,0.662888,1.29707,0.545034,-0.0287081,1.15161,213,20.2,0,0.525,11
1.82849e-06,-1.71853e-06,-2.21983e-06,-0.00158336,-0.00154174,-0.00183455,2.08422,2.66871,0.0067627,2.01727,4.01046,0.773309,-0.0240782,3.70084,213,-0.1,19.5,0.5025,12
1.84497e-06,-1.72981e-06,-2.26351e-06,-0.00160549,-0.00156058,-0.00190162,0.884403,1.01846,0.000438211,0.66266,1.32537,0.577882,5.02378e-05,1.15089,213,-0.1,19.5,0.525,13
